Gene_acc,Gene_id,NST1p1,NST1p2,NST1p3,NST1p4,NST1m1,NST1m2,NST1m3,NST1m4,Desc
38,Tb10.v4.0216,66295.0,65206.0,60470.0,59719.0,106700.0,88084.0,98601.0,117690.0,"variant surface glycoprotein (VSG, pseudogene), putative"
39,Tb927.10.6900,31697.0,33723.0,36018.0,31604.0,52854.0,47814.0,54114.0,44442.0,base J-associated glucosyltransferase
40,Tb11.01.2730,90085.0,104660.0,99717.0,95856.0,141880.0,162360.0,152500.0,153910.0,"hypothetical protein, conserved"
42,Tb11.02.5070b,26205.0,28556.0,25219.0,21286.0,37629.0,42924.0,42187.0,37990.0,"hypothetical protein, conserved"
43,Tb927.11.7213,692960.0,772540.0,673690.0,712340.0,1008400.0,1209600.0,1054500.0,1132800.0,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
44,Tb11.02.5090b,93260.0,93519.0,98167.0,95032.0,173100.0,178600.0,196670.0,203030.0,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
45,Tb11.02.5380b,432650.0,431340.0,442720.0,438170.0,682800.0,676520.0,735520.0,742650.0,"exosome complex exonuclease RRP44p homologue, putative"
46,Tb11.02.5390b,94808.0,102190.0,99201.0,102230.0,167760.0,154140.0,179720.0,156920.0,"mRNA processing protein, putative"
47,Tb11.02.5410b,18267.0,18487.0,14060.0,18595.0,23784.0,25070.0,22255.0,27757.0,"ubiquitin activating enzyme, putative"
48,Tb11.02.5420b,611480.0,580140.0,520460.0,590320.0,973940.0,896530.0,1047800.0,974650.0,"NADPH-cytochrome p450 reductase, putative"
49,Tb11.02.5430b,17574.0,21758.0,15374.0,13862.0,23882.0,25191.0,27205.0,24333.0,"hypothetical protein, conserved"
50,Tb927.6.4980,2087000.0,1880400.0,1908400.0,2194300.0,2996900.0,2974700.0,3132000.0,2926900.0,40S ribosomal protein S14
51,Tb927.11.7670,57408.0,58661.0,64317.0,69119.0,95674.0,92031.0,117050.0,100700.0,"Cornifin (SPRR) family, putative"
52,Tb927.10.1130,310500.0,288110.0,330280.0,333640.0,485070.0,515110.0,550020.0,530840.0,"dynein arm light chain, axonemal, putative"
53,Tb927.10.1140,83359.0,87174.0,80388.0,90571.0,141640.0,143590.0,155070.0,146130.0,epsilon tubulin
54,Tb927.10.1150,6285.4,3539.7,5510.8,6563.9,7926.7,12592.0,10363.0,10723.0,"hypothetical protein, conserved"
55,Tb927.10.1160,3981.1,3413.8,3436.6,0.0,3678.7,0.0,5802.5,3357.5,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
56,Tb927.11.715,222010.0,203450.0,173590.0,196450.0,337670.0,324530.0,331390.0,352770.0,"dynein light chain LC8, putative"
57,Tb11.0850,411460.0,392210.0,442570.0,448830.0,633320.0,661920.0,683120.0,704800.0,"SCAMP family, putative"
58,Tb927.4.1100,2527100.0,2656800.0,2474900.0,2463100.0,4011600.0,4207200.0,4466200.0,4162000.0,"ribosomal protein L21E (60S), putative"
59,Tb11.1220,4191000.0,4053300.0,4093400.0,4421500.0,6845400.0,6726400.0,7887500.0,7525700.0,hypothetical protein
60,Tb927.10.15270,1064800.0,1022400.0,968080.0,1047100.0,1667100.0,1786500.0,1880500.0,1771800.0,"metallo- peptidase, Clan MG, Family M24"
61,Tb927.11.1840,16122000.0,16472000.0,16674000.0,15415000.0,25274000.0,25422000.0,27436000.0,26506000.0,"hypothetical protein, conserved"
62,Tb11.1780.1-p1,105530.0,96734.0,99642.0,101510.0,191670.0,188350.0,210750.0,179210.0,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
63,Tb11.1790.1-p1,1568500.0,1511100.0,1806200.0,1578000.0,3039500.0,3124200.0,3118500.0,2983600.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
64,Tb11.v5.0111,6128.4,6640.1,5129.3,6827.9,8696.0,10973.0,11201.0,11086.0,"variant surface protein (VSG), putative"
66,Tb927.7.4600,103820.0,75168.0,106700.0,69836.0,133780.0,134920.0,354810.0,118040.0,"Calponin homology (CH) domain containing protein, putative"
67,Tb927.7.4650,122100.0,130300.0,146860.0,128600.0,183040.0,211540.0,246590.0,204740.0,J Biosynthesis Protein 2
68,Tb927.7.4670,54936.0,52172.0,51331.0,32333.0,77456.0,74007.0,71788.0,76199.0,ribosomal RNA processing protein 4
69,Tb927.7.4690,124780.0,131480.0,118340.0,117650.0,192380.0,183890.0,203690.0,210970.0,hypothetical protein
70,Tb11.v5.0154,4567700.0,4419000.0,4306600.0,4629800.0,7332000.0,7300700.0,7632400.0,7528900.0,"WD domain, G-beta repeat, putative"
71,Tb927.7.4740,25778.0,31388.0,25940.0,27998.0,37129.0,42249.0,41140.0,39663.0,"hypothetical protein, conserved"
72,Tb927.7.4750,116310.0,126320.0,112790.0,100630.0,164050.0,169040.0,178730.0,189040.0,"hypothetical protein, conserved"
73,Tb927.7.4770,7168400.0,7584500.0,6552000.0,6969300.0,10979000.0,11762000.0,11919000.0,11412000.0,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
74,Tb927.7.4790,216290.0,192300.0,194650.0,191120.0,328510.0,334670.0,354930.0,354480.0,proteasome beta 6 subunit
75,Tb927.7.4810,260230.0,293940.0,284990.0,312460.0,522310.0,498330.0,508740.0,516020.0,"HD domain containing protein, putative"
76,Tb927.7.4820,71033.0,80112.0,53738.0,63560.0,134360.0,112450.0,122440.0,128010.0,"Trm112p-like protein, putative"
77,Tb927.7.4840,157720.0,203400.0,148230.0,175070.0,268440.0,309820.0,290900.0,297490.0,"hypothetical protein, conserved"
78,Tb927.7.4870,95946.0,96273.0,127670.0,100870.0,162670.0,165630.0,188760.0,164380.0,"hypothetical protein, conserved"
79,Tb927.7.4900,798870.0,796400.0,772150.0,752930.0,1293100.0,1333600.0,1440300.0,1345700.0,5-3 exoribonuclease A
80,Tb927.7.4910,1969100.0,2052900.0,2044400.0,1840100.0,3363500.0,3494100.0,3452600.0,3497300.0,"hypothetical protein, conserved"
81,Tb927.7.4930,18511.0,14699.0,17191.0,11139.0,22248.0,23247.0,26802.0,16974.0,ribonuclease H1
82,Tb927.7.4940,47557.0,45068.0,56978.0,47654.0,77766.0,75449.0,83537.0,69627.0,"serine peptidase, clan SC, family S9A-like protein"
83,Tb927.7.4960,116830.0,114340.0,125630.0,94941.0,138650.0,164070.0,193010.0,158310.0,"hypothetical protein, conserved"
84,Tb927.7.4980,15215.0,9650.0,9705.5,11300.0,16257.0,17313.0,20173.0,17255.0,Present in the outer mitochondrial membrane proteome 35
85,Tb927.7.4990,359570.0,367490.0,366320.0,370060.0,574450.0,579220.0,653730.0,618610.0,"hypothetical protein, conserved"
86,Tb927.7.5020,13476000.0,13246000.0,12472000.0,12795000.0,21573000.0,21477000.0,20170000.0,19675000.0,"60S ribosomal protein L19, putative"
87,Tb927.7.5030,396550.0,448270.0,408920.0,392460.0,663490.0,723770.0,753230.0,688480.0,"hypothetical protein, conserved"
88,Tb927.7.5050,450690.0,448390.0,453320.0,468570.0,726690.0,756230.0,771370.0,727770.0,"hypothetical protein, conserved"
89,Tb11.v5.0191,42060.0,40220.0,35044.0,32505.0,70225.0,66975.0,70805.0,74978.0,"ELMO/CED-12 family, putative"
90,Tb927.10.5990,730560.0,785090.0,762120.0,742020.0,1295600.0,1336400.0,1377800.0,1289700.0,"Centrosomal protein of 57 kDa, putative"
91,Tb11.v5.0196,2940900.0,3001100.0,3004800.0,2857700.0,5065300.0,5316500.0,5547900.0,5185300.0,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
92,Tb927.10.6060,342450.0,354980.0,290870.0,338460.0,539890.0,644240.0,589040.0,502530.0,universal minicircle sequence binding protein 2
93,Tb927.10.6080,642760.0,618530.0,634970.0,547230.0,981410.0,1060200.0,1033900.0,985440.0,"proteasome subunit beta type-5, putative"
94,Tb11.v5.0201,26231.0,27430.0,24375.0,27220.0,43910.0,48295.0,45968.0,38259.0,"tRNA pseudouridine synthase A, putative"
95,Tb927.10.6110,5147.1,7949.8,9177.5,6068.0,11479.0,13412.0,16434.0,12404.0,"hypothetical protein, conserved"
96,Tb927.10.6120,35565.0,31098.0,33239.0,33698.0,40736.0,44547.0,46734.0,38903.0,"Peptidase M76 family, putative"
97,Tb927.5.291b,17939.0,15537.0,19491.0,19082.0,33543.0,28574.0,27013.0,31231.0,"variant surface glycoprotein (VSG)-related, putative"
98,Tb927.5.295b,2376700.0,2388400.0,2184900.0,2267700.0,3870200.0,4124300.0,4364000.0,4373600.0,retrotransposon hotspot (RHS) protein 1
99,Tb927.5.300b,165670.0,163210.0,162850.0,167170.0,263350.0,261310.0,273920.0,253120.0,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative"
100,Tb927.5.309b,1612300.0,1686200.0,1554100.0,1563700.0,2571300.0,3035500.0,3032300.0,2678800.0,"invariant surface glycoprotein, putative"
101,Tb927.5.500,389480.0,318970.0,388160.0,362040.0,539560.0,566700.0,624780.0,581040.0,"hypothetical protein, conserved"
102,Tb927.5.450,29371.0,36874.0,35212.0,27685.0,49215.0,59629.0,61464.0,54508.0,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
103,Tb927.5.420,126530.0,141340.0,116530.0,125620.0,190210.0,201710.0,199750.0,160970.0,"invariant surface glycoprotein, putative"
104,Tb927.5.410,36126.0,39031.0,41008.0,40990.0,72896.0,73657.0,80441.0,70523.0,"invariant surface glycoprotein, putative"
105,Tb927.5.390,821730.0,922260.0,781300.0,787210.0,1612300.0,1643800.0,1670700.0,1668200.0,"75 kDa invariant surface glycoprotein, putative"
106,Tb927.5.370,394460.0,380060.0,419420.0,344820.0,625980.0,623260.0,689340.0,615670.0,"75 kDa invariant surface glycoprotein, putative"
107,Tb927.5.360,3183900.0,3550700.0,3087200.0,3201800.0,5176400.0,5545200.0,5920600.0,5214400.0,75 kDa invariant surface glycoprotein
108,Tb11.v5.0232,388000.0,434460.0,456360.0,380170.0,786990.0,774410.0,809610.0,785330.0,"hypothetical protein, conserved"
109,Tb927.10.5240,209170.0,210980.0,188970.0,183270.0,303440.0,355190.0,347390.0,316530.0,"cAMP binding protein, putative"
110,Tb927.10.5210,11734.0,14837.0,15278.0,12606.0,24245.0,27787.0,33254.0,27063.0,TFIIH basal transcription factor subunit
111,Tb927.10.5200,29443.0,32212.0,25509.0,27480.0,42055.0,47178.0,47324.0,46475.0,"hypothetical protein, conserved"
112,Tb927.10.5340,7265800.0,7785600.0,6844200.0,6183300.0,10811000.0,10966000.0,12413000.0,11622000.0,"40S ribosomal protein S18, putative"
113,Tb927.10.5310,39139.0,46417.0,46547.0,45986.0,83065.0,85405.0,93291.0,84478.0,"AMP-activated kinase, alpha 1"
114,Tb927.10.5300,336080.0,298850.0,296860.0,352400.0,505440.0,579170.0,555260.0,570100.0,"eukaryotic translation initiation factor 6 (eIF-6), putative"
115,Tb927.10.5280,216690.0,224630.0,201790.0,197410.0,327900.0,326040.0,348660.0,326590.0,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
116,Tb927.10.5270,60009.0,60059.0,64216.0,63911.0,108220.0,108140.0,116070.0,100020.0,mitogen-activated protein kinase kinase 5
117,Tb927.11.7310,75148.0,64516.0,64330.0,73174.0,120580.0,130920.0,136760.0,142890.0,"RNA binding protein, putative"
118,Tb927.11.7300,25091.0,21081.0,26526.0,23982.0,38397.0,40874.0,40402.0,39690.0,"major facilitator superfamily, putative"
119,Tb927.11.7290,890280.0,868420.0,870790.0,853420.0,1411900.0,1455900.0,1533100.0,1484800.0,"pantothenate kinase subunit, putative"
120,Tb927.11.7280,54607.0,59118.0,58113.0,56335.0,94613.0,90638.0,108030.0,106770.0,"DNA-direcetd RNA polymerase II, subunit 9, putative"
121,Tb927.11.7270,1122200.0,1161600.0,1177300.0,1114700.0,1758300.0,1911500.0,2050800.0,1936800.0,"proteasome beta 3 subunit, putative"
122,Tb927.11.7240,612020.0,665290.0,592300.0,617570.0,985020.0,999420.0,1098300.0,993640.0,nexin-dynein regulatory complex 2
123,Tb927.7.4480,8391800.0,8350100.0,7414600.0,7552300.0,13591000.0,15073000.0,14840000.0,14224000.0,"adenosine 5-monophosphoramidase, putative"
124,Tb927.7.4490,373030.0,342860.0,350920.0,352910.0,575920.0,571380.0,564170.0,582180.0,"hypothetical protein, conserved"
125,Tb927.7.4500,2881500.0,2793200.0,2709400.0,2829000.0,5047200.0,5356000.0,5364500.0,5345100.0,"PX domain containing protein, putative"
126,Tb927.7.4510,114560.0,125900.0,111360.0,118170.0,188220.0,184480.0,190030.0,254240.0,"Domain of unknown function (DUF4201), putative"
127,Tb927.7.4520,8684700.0,8889400.0,8146900.0,8284600.0,12495000.0,12601000.0,13167000.0,12184000.0,"Thioredoxin-like, putative"
128,Tb927.7.4550,441910.0,422590.0,404780.0,394130.0,698790.0,729140.0,746860.0,731150.0,Mitochondrial ribosomal protein L7/L12
129,Tb927.7.4560,19382.0,18566.0,16138.0,18570.0,29890.0,34046.0,33071.0,33279.0,Histone acetyltransferase 1
130,Tb927.7.4570,3920000.0,4081200.0,3738800.0,3530200.0,6619800.0,6766500.0,7045600.0,7222800.0,inosine-guanine nucleoside hydrolase
131,Tb927.10.6350,497360.0,518230.0,485470.0,519090.0,740530.0,854870.0,844630.0,901370.0,trypanin
132,Tb927.10.6340,89544.0,87483.0,88301.0,91805.0,134930.0,143290.0,159190.0,132510.0,"hypothetical protein, conserved"
133,Tb927.10.6330,178520.0,167300.0,180010.0,166910.0,266060.0,280870.0,295840.0,280550.0,kinetoplastid kinetochore protein 1
134,Tb927.10.6320,768270.0,718580.0,776940.0,783660.0,1031300.0,1192100.0,1302600.0,1125700.0,"CBF/Mak21 family, putative"
135,Tb927.10.6310,1306100.0,1297200.0,1374500.0,1360600.0,2363900.0,2436100.0,2586400.0,2362000.0,"major vault protein, putative"
136,Tb927.10.6290,695470.0,731460.0,730340.0,717110.0,1161800.0,1244600.0,1272100.0,1349400.0,"ATP-dependent DEAD/H RNA helicase, putative"
137,Tb927.11.12770,7912.1,8251.0,9580.8,9375.9,14635.0,14587.0,16468.0,14649.0,"ubiquitin ligase, putative"
138,Tb927.11.12750,97562.0,86147.0,100000.0,92268.0,167720.0,174200.0,179310.0,148880.0,cleavage and polyadenylation specificity factor 30 kDa subunit
139,Tb927.10.15930,12147.0,15171.0,13354.0,12700.0,17862.0,21585.0,21130.0,20505.0,"pdz domain containing protein, putative"
140,Tb11.v5.0304,113410.0,106120.0,100830.0,120560.0,164880.0,164280.0,196950.0,164280.0,"cation transporter, putative"
141,Tb11.v5.0325,241020.0,235570.0,228460.0,229920.0,448570.0,445360.0,444730.0,443350.0,"retrotransposon hot spot (RHS) protein, putative"
142,Tb11.v5.0326,84903.0,72433.0,81597.0,82543.0,130710.0,133610.0,164560.0,154860.0,"retrotransposon hot spot (RHS) protein, putative"
143,Tb927.10.8440,2446000.0,2547100.0,2285000.0,2547200.0,4699000.0,4949400.0,5262600.0,5307100.0,glucose transporter 1B
144,Tb927.10.5080,439760.0,494930.0,452980.0,446680.0,680390.0,730280.0,774370.0,718280.0,GPI transamidase component Tta2
145,Tb927.10.5070,17780.0,14725.0,17104.0,12698.0,25647.0,31858.0,29346.0,23097.0,"ribonuclease H, putative"
146,Tb927.10.5040,361620.0,373630.0,391440.0,335110.0,563170.0,623160.0,627490.0,630070.0,"chaperone protein DnaJ, putative"
148,Tb927.1.1240,560560.0,507420.0,542190.0,549740.0,848560.0,830770.0,949570.0,921610.0,"cytidine triphosphate synthase, putative"
149,Tb927.1.1270,1081.5,1169.6,914.23,1036.8,971.61,2025.7,2102.6,2249.4,"homocysteine S-methyltransferase, putative"
150,Tb11.v5.0364,732140.0,684860.0,602590.0,584150.0,1027900.0,1050900.0,1080900.0,1078700.0,"hypothetical protein, conserved"
151,Tb11.v5.0365,123430.0,120450.0,99080.0,77458.0,158620.0,161330.0,206650.0,170460.0,"hypothetical protein, conserved"
152,Tb11.v5.0366,2545400.0,2614300.0,2420900.0,2494100.0,4001100.0,4382500.0,4577300.0,4453500.0,"hypothetical protein, conserved"
153,Tb927.1.1310,62138.0,67035.0,46512.0,59083.0,93257.0,99150.0,93165.0,97869.0,"transmembrane protein, conserved"
154,Tb927.11.1180,817490.0,811770.0,795140.0,794620.0,1270900.0,1402300.0,1466300.0,1305000.0,"cdc2-related kinase 6, putative"
155,Tb927.1.1370,233270.0,262900.0,243380.0,253540.0,408520.0,382440.0,381640.0,420170.0,"rRNA biogenesis protein, putative"
156,Tb11.v5.0394,888600.0,952740.0,873290.0,854130.0,1491400.0,1660300.0,1618900.0,1606300.0,"hypothetical protein, conserved"
157,Tb927.10.16170,30361.0,32471.0,27446.0,32310.0,46452.0,51046.0,47549.0,38302.0,"potassium voltage-gated channel, putative"
158,Tb927.10.16150,187480.0,186530.0,206160.0,166560.0,288580.0,311830.0,318190.0,317120.0,"ATP-dependent zinc metallopeptidase, putative"
159,Tb11.v5.0406,66573.0,70672.0,67905.0,60083.0,111270.0,118530.0,117730.0,95074.0,"glycerol uptake protein, putative"
160,Tb927.10.540,6504300.0,6677300.0,6021600.0,5821900.0,10845000.0,10916000.0,10903000.0,11274000.0,"ATP-dependent RNA helicase SUB2, putative"
161,Tb927.10.14490,1452500.0,1351500.0,1321700.0,1348100.0,2462000.0,2602600.0,2804500.0,2586000.0,"hypothetical protein, conserved"
162,Tb927.5.350,279620.0,259940.0,226180.0,271730.0,410740.0,420310.0,476770.0,444030.0,"75 kDa invariant surface glycoprotein, putative"
163,Tb11.v5.0422,168050.0,174370.0,182810.0,171420.0,280920.0,296890.0,304230.0,300120.0,"SET domain containing protein, putative"
164,Tb927.10.15850,691110.0,688280.0,719400.0,701630.0,1137100.0,1150400.0,1222800.0,1145100.0,Peroxisome biogenesis factor 12
165,Tb11.v5.0429,4644.1,7357.6,7275.1,5835.5,8698.2,10950.0,12198.0,9016.1,"receptor-type adenylate cyclase GRESAG 4, putative"
166,Tb927.10.15390,474240.0,532800.0,522350.0,525440.0,855770.0,823230.0,927470.0,888130.0,Flagellum attachment zone protein 7
167,Tb927.11.3650,7070700.0,7432500.0,6938400.0,6158900.0,11489000.0,12177000.0,12893000.0,12340000.0,"adenylosuccinate synthetase, putative"
168,Tb927.1.1030,171910.0,161210.0,153790.0,208120.0,283230.0,336430.0,322920.0,310980.0,Nucleolar protein 49
169,Tb927.1.1560,2931400.0,2860700.0,2748000.0,2817100.0,4911400.0,4939100.0,5176400.0,5012000.0,"vesicular-fusion protein nsf, putative"
170,Tb927.10.15650,13572.0,14678.0,16974.0,16936.0,30002.0,32834.0,25985.0,32296.0,Mitoribosomal SSU assembly factor 11
171,Tb11.v5.0468,42119.0,47377.0,26365.0,15820.0,48130.0,56295.0,84940.0,52042.0,"alpha tubulin, putative"
172,Tb927.1.2390,21188000.0,21227000.0,21464000.0,20685000.0,33043000.0,33032000.0,37033000.0,35628000.0,beta tubulin
173,Tb927.3.3290,55916.0,66378.0,62624.0,52248.0,108310.0,94026.0,90831.0,104120.0,"protein kinase, putative"
174,Tb11.v5.0480,877710.0,967800.0,862370.0,854580.0,1369700.0,1422000.0,1486500.0,1579200.0,"DNA-directed RNA polymerase, alpha subunit, putative"
175,Tb927.10.15380,159800.0,159510.0,164320.0,153990.0,263520.0,252890.0,283460.0,276550.0,"U3 snoRNA-associated protein UTP11, putative"
176,Tb927.10.1200,246470.0,262950.0,249810.0,276380.0,376420.0,455910.0,444140.0,431590.0,"Programmed cell death protein 2, C-terminal putative domain containing protein, putative"
177,Tb11.v5.0489,26459.0,21365.0,15961.0,25865.0,34956.0,35494.0,37884.0,41856.0,"retrotransposon hot spot (RHS) protein, putative"
178,Tb11.v5.0493,28693.0,36631.0,29753.0,30182.0,58576.0,60190.0,59343.0,58728.0,"kinesin K39, putative"
179,Tb927.10.660,82407.0,85777.0,73922.0,79479.0,148640.0,148050.0,171520.0,147080.0,"2-oxoisovalerate dehydrogenase alpha subunit, putative"
180,Tb11.v5.0501,2274900.0,2166900.0,2366900.0,2374400.0,4015600.0,3897400.0,4306300.0,4056000.0,"40S ribosomal protein S3A, putative"
181,Tb927.10.3920,582100.0,620090.0,601130.0,591680.0,1013400.0,1042200.0,1005500.0,1037100.0,"hypothetical protein, conserved"
182,Tb927.10.6880,8232100.0,9210400.0,8912600.0,8538800.0,14163000.0,14939000.0,15185000.0,14858000.0,"glyceraldehyde 3-phosphate dehydrogenase, cytosolic"
183,Tb11.v5.0517,68634.0,70774.0,62498.0,68341.0,116120.0,121820.0,127750.0,116970.0,"hypothetical protein, conserved"
184,Tb927.8.3320,3288.2,4404.8,7794.1,4878.0,5656.0,8248.4,9813.8,7701.1,"Mitochondrial ATP synthase subunit, putative"
185,Tb11.v5.0520,82854.0,80611.0,84444.0,76590.0,124000.0,112780.0,134580.0,122320.0,"acetyltransferase, putative"
186,Tb927.1.780,134600.0,105200.0,123020.0,119600.0,174470.0,168530.0,187610.0,172030.0,leucine-rich repeat-containing protein
187,Tb927.10.16110,692430.0,733770.0,654360.0,701940.0,1262000.0,1354900.0,1333700.0,1378200.0,component of motile flagella 1
188,Tb927.9.3630,851900.0,853520.0,839350.0,804490.0,1330200.0,1378100.0,1466300.0,1403000.0,"BSD domain containing protein, putative"
189,Tb927.10.5620,24318000.0,23967000.0,22540000.0,23391000.0,42446000.0,43629000.0,45071000.0,43687000.0,"fructose-bisphosphate aldolase, glycosomal"
190,Tb11.v5.0536,1342900.0,1381300.0,1340200.0,1147200.0,990660.0,987270.0,1070600.0,1042700.0,"hypothetical protein, conserved"
191,Tb11.v5.0537,5436900.0,5604200.0,5377900.0,5720600.0,8325900.0,8781200.0,8727100.0,8955000.0,"polyubiquitin, putative"
192,Tb927.8.5010,24655000.0,26397000.0,24143000.0,24145000.0,41917000.0,42392000.0,42118000.0,45075000.0,Paraflagellar rod protein 2-5
193,Tb927.4.4860,924160.0,906100.0,772560.0,886430.0,1623900.0,1588900.0,1603200.0,1343300.0,"amino acid transporter 8, putative"
194,Tb927.10.10960,11970000.0,12706000.0,11389000.0,11090000.0,20742000.0,20805000.0,21623000.0,21906000.0,"heat shock protein, putative"
195,Tb11.v5.0553,77398.0,64866.0,65401.0,70878.0,127530.0,122220.0,155780.0,130120.0,"ubiquitin hydrolase, putative"
196,Tb11.v5.0555,15045.0,15434.0,16545.0,15146.0,20343.0,15717.0,25929.0,23549.0,"hypothetical protein, conserved"
197,Tb927.10.13270,259730.0,246020.0,228810.0,240970.0,382570.0,386150.0,441030.0,389970.0,"Periodic tryptophan protein 2 homolog, putative"
198,Tb927.10.350,124080.0,122160.0,124990.0,129230.0,224290.0,225230.0,226040.0,216230.0,"protein kinase PK4, putative"
